Time_ns, TLAST, TVALID, TDATA_HEX
22135000, 0000, 1111, 00007f8000007f8000007f8000007f80
22145000, 0000, 1111, 1e4fbff41e4fbff41e4fbff41e4fbff4
22155000, 0000, 1111, f92f0017f92f0017f92f0017f92f0017
22165000, 0000, 1111, fe4a000afe4a000afe4a000afe4a000a
22175000, 0000, 1111, ff500006ff500006ff500006ff500006
22185000, 0000, 1111, ffa70005ffa70005ffa70005ffa70005
22195000, 0000, 1111, ffcd0003ffcd0003ffcd0003ffcd0003
22205000, 0000, 1111, ffe10003ffe10003ffe10003ffe10003
22215000, 0000, 1111, ffeb0001ffeb0001ffeb0001ffeb0001
22225000, 0000, 1111, fff00003fff00003fff00003fff00003
22235000, 0000, 1111, fff40000fff40000fff40000fff40000
22245000, 0000, 1111, fff60003fff60003fff60003fff60003
22255000, 0000, 1111, fff80002fff80002fff80002fff80002
22265000, 0000, 1111, fffa0003fffa0003fffa0003fffa0003
22275000, 0000, 1111, fffc0001fffc0001fffc0001fffc0001
22285000, 0000, 1111, fffc0001fffc0001fffc0001fffc0001
22295000, 0000, 1111, fffc0000fffc0000fffc0000fffc0000
22305000, 0000, 1111, fffb0003fffb0003fffb0003fffb0003
22315000, 0000, 1111, fffc0002fffc0002fffc0002fffc0002
22325000, 0000, 1111, fffe0001fffe0001fffe0001fffe0001
22335000, 0000, 1111, ffff0000ffff0000ffff0000ffff0000
22345000, 0000, 1111, ffff0000ffff0000ffff0000ffff0000
22355000, 0000, 1111, fffdfffefffdfffefffdfffefffdfffe
22365000, 0000, 1111, fffe0000fffe0000fffe0000fffe0000
22375000, 0000, 1111, ffff0000ffff0000ffff0000ffff0000
22385000, 0000, 1111, 00000001000000010000000100000001
22395000, 0000, 1111, ffffffffffffffffffffffffffffffff
22405000, 0000, 1111, 00000001000000010000000100000001
22415000, 0000, 1111, ffff0000ffff0000ffff0000ffff0000
22425000, 0000, 1111, 0000fffe0000fffe0000fffe0000fffe
22435000, 0000, 1111, fffefffffffefffffffefffffffeffff
22445000, 0000, 1111, 00000002000000020000000200000002
22455000, 0000, 1111, 00000000000000000000000000000000
22465000, 0000, 1111, 00010000000100000001000000010000
22475000, 0000, 1111, 0000fffe0000fffe0000fffe0000fffe
22485000, 0000, 1111, ffff0002ffff0002ffff0002ffff0002
22495000, 0000, 1111, ffff0002ffff0002ffff0002ffff0002
22505000, 0000, 1111, 00000002000000020000000200000002
22515000, 0000, 1111, 0002fffe0002fffe0002fffe0002fffe
22525000, 0000, 1111, 00000000000000000000000000000000
22535000, 0000, 1111, fffe0001fffe0001fffe0001fffe0001
22545000, 0000, 1111, 00000002000000020000000200000002
22555000, 0000, 1111, 0000ffff0000ffff0000ffff0000ffff
22565000, 0000, 1111, 0000ffff0000ffff0000ffff0000ffff
22575000, 0000, 1111, fffefffefffefffefffefffefffefffe
22585000, 0000, 1111, fffe0001fffe0001fffe0001fffe0001
22595000, 0000, 1111, 00000002000000020000000200000002
22605000, 0000, 1111, 00010001000100010001000100010001
22615000, 0000, 1111, fffffffefffffffefffffffefffffffe
22625000, 0000, 1111, fffe0000fffe0000fffe0000fffe0000
22635000, 0000, 1111, 00000001000000010000000100000001
22645000, 0000, 1111, ffff0000ffff0000ffff0000ffff0000
